insert into branch (id, title, retailer_id, address_id) values (1, '53877-008', 9, 1);
insert into branch (id, title, retailer_id, address_id) values (2, '21695-315', 4, 2);
insert into branch (id, title, retailer_id, address_id) values (3, '55289-824', 9, 3);
insert into branch (id, title, retailer_id, address_id) values (4, '68016-192', 9, 4);
insert into branch (id, title, retailer_id, address_id) values (5, '41163-120', 10, 5);
insert into branch (id, title, retailer_id, address_id) values (6, '55154-5487', 5, 6);
insert into branch (id, title, retailer_id, address_id) values (7, '59667-0045', 6, 7);
insert into branch (id, title, retailer_id, address_id) values (8, '51668-505', 6, 8);
insert into branch (id, title, retailer_id, address_id) values (9, '0093-7316', 5, 9);
insert into branch (id, title, retailer_id, address_id) values (10, '49349-208', 9, 10);
insert into branch (id, title, retailer_id, address_id) values (11, '0527-1393', 6, 11);
insert into branch (id, title, retailer_id, address_id) values (12, '0074-3289', 8, 12);
insert into branch (id, title, retailer_id, address_id) values (13, '61919-469', 7, 13);
insert into branch (id, title, retailer_id, address_id) values (14, '0187-1616', 10, 14);
insert into branch (id, title, retailer_id, address_id) values (15, '51079-801', 7, 15);
insert into branch (id, title, retailer_id, address_id) values (16, '61016-0004', 1, 16);
insert into branch (id, title, retailer_id, address_id) values (17, '60512-9077', 3, 17);
insert into branch (id, title, retailer_id, address_id) values (18, '50844-428', 9, 18);
insert into branch (id, title, retailer_id, address_id) values (19, '55289-092', 5, 19);
insert into branch (id, title, retailer_id, address_id) values (20, '41250-799', 10, 20);
insert into branch (id, title, retailer_id, address_id) values (21, '63824-057', 9, 21);
insert into branch (id, title, retailer_id, address_id) values (22, '76485-1014', 3, 22);
insert into branch (id, title, retailer_id, address_id) values (23, '64092-012', 3, 23);
insert into branch (id, title, retailer_id, address_id) values (24, '67046-489', 1, 24);
insert into branch (id, title, retailer_id, address_id) values (25, '0498-2421', 3, 25);
insert into branch (id, title, retailer_id, address_id) values (26, '58980-624', 8, 26);
insert into branch (id, title, retailer_id, address_id) values (27, '53329-206', 3, 27);
insert into branch (id, title, retailer_id, address_id) values (28, '0093-7336', 7, 28);
insert into branch (id, title, retailer_id, address_id) values (29, '11673-809', 4, 29);
insert into branch (id, title, retailer_id, address_id) values (30, '0472-1263', 8, 30);
